Symbol;Security;GICS Sector;GICS Sub-Industry;Headquarters Location;Date added;CIK;Founded
BX;Blackstone Inc.;Financials;Asset Management & Custody Banks;New York City, New York;2023-09-18;1393818;1985
BXP;BXP, Inc.;Real Estate;Office REITs;Boston, Massachusetts;2006-04-03;1037540;1970
C;Citigroup;Financials;Diversified Banks;New York City, New York;1988-05-31;831001;1998
CAG;Conagra Brands;Consumer Staples;Packaged Foods & Meats;Chicago, Illinois;1983-08-31;23217;1919
CAH;Cardinal Health;Health Care;Health Care Distributors;Dublin, Ohio;1997-05-27;721371;1971
CARR;Carrier Global;Industrials;Building Products;Palm Beach Gardens, Florida;2020-04-03;1783180;2020 (1915, United Technologies spinoff)
CAT;Caterpillar Inc.;Industrials;Construction Machinery & Heavy Transportation Equipment;Irving, Texas;1957-03-04;18230;1925
CB;Chubb Limited;Financials;Property & Casualty Insurance;Zurich, Switzerland;2010-07-15;896159;1985
CBOE;Cboe Global Markets;Financials;Financial Exchanges & Data;Chicago, Illinois;2017-03-01;1374310;1973
CBRE;CBRE Group;Real Estate;Real Estate Services;Dallas, Texas;2006-11-10;1138118;1906
CCI;Crown Castle;Real Estate;Telecom Tower REITs;Houston, Texas;2012-03-14;1051470;1994
CCL;Carnival;Consumer Discretionary;Hotels, Resorts & Cruise Lines;Miami, Florida;1998-12-22;815097;1972
CDNS;Cadence Design Systems;Information Technology;Application Software;San Jose, California;2017-09-18;813672;1988
CDW;CDW;Information Technology;Technology Distributors;Vernon Hills, Illinois;2019-09-23;1402057;1984
CE;Celanese;Materials;Specialty Chemicals;Irving, Texas;2018-12-24;1306830;1918
CEG;Constellation Energy;Utilities;Electric Utilities;Baltimore, Maryland;2022-02-02;1868275;1999
CF;CF Industries;Materials;Fertilizers & Agricultural Chemicals;Deerfield, Illinois;2008-08-27;1324404;1946
CFG;Citizens Financial Group;Financials;Regional Banks;Providence, Rhode Island;2016-01-29;759944;1828
CHD;Church & Dwight;Consumer Staples;Household Products;Ewing, New Jersey;2015-12-29;313927;1847
CHRW;C.H. Robinson;Industrials;Air Freight & Logistics;Eden Prairie, Minnesota;2007-03-02;1043277;1905
CHTR;Charter Communications;Communication Services;Cable & Satellite;Stamford, Connecticut;2016-09-08;1091667;1993
CI;Cigna;Health Care;Health Care Services;Bloomfield, Connecticut;1976-06-30;1739940;1982
CINF;Cincinnati Financial;Financials;Property & Casualty Insurance;Fairfield, Ohio;1997-12-18;20286;1950
CL;Colgate-Palmolive;Consumer Staples;Household Products;New York City, New York;1957-03-04;21665;1806
CLX;Clorox;Consumer Staples;Household Products;Oakland, California;1969-03-31;21076;1913
CMCSA;Comcast;Communication Services;Cable & Satellite;Philadelphia, Pennsylvania;2002-11-19;1166691;1963
CME;CME Group;Financials;Financial Exchanges & Data;Chicago, Illinois;2006-08-11;1156375;1848
CMG;Chipotle Mexican Grill;Consumer Discretionary;Restaurants;Newport Beach, California;2011-04-28;1058090;1993
CMI;Cummins;Industrials;Construction Machinery & Heavy Transportation Equipment;Columbus, Indiana;1965-03-31;26172;1919
